	Count
hsa-mir-21-5p	216780
hsa-mir-10a-5p	47682
hsa-mir-100-5p	13600
hsa-mir-21-3p	5351
hsa-mir-183-5p	4785
hsa-mir-4454	4069
hsa-mir-10b-5p	3623
hsa-mir-4286	3601
hsa-mir-221-5p	2981
hsa-mir-30d-5p	2627
hsa-mir-181a-5p	2289
hsa-mir-1275	1878
hsa-mir-7974	1831
hsa-mir-182-5p	1732
hsa-mir-423-5p	1208
hsa-mir-31-5p	1079
hsa-mir-454-5p	1017
hsa-mir-30b-5p	918
hsa-mir-1260b	896
hsa-mir-191-5p	805
hsa-mir-31-3p	793
hsa-mir-26a-5p	756
hsa-mir-12136	733
hsa-mir-15a-5p	678
hsa-mir-181b-5p	614
hsa-mir-151a-5p	587
hsa-let-7f-5p	544
hsa-mir-16-5p	527
hsa-let-7i-5p	481
hsa-let-7b-3p	470
hsa-let-7a-5p	460
hsa-mir-1246	429
hsa-mir-4448	415
hsa-mir-5100	391
hsa-mir-532-5p	381
hsa-mir-30e-5p	363
hsa-mir-15b-5p	306
hsa-mir-1260a	298
hsa-mir-30c-5p	293
hsa-mir-28-5p	286
hsa-let-7b-5p	285
hsa-mir-196b-5p	277
hsa-mir-92a-3p	244
hsa-mir-222-3p	237
hsa-let-7g-5p	217
hsa-mir-4484	205
hsa-mir-5585-3p	201
hsa-mir-1303	196
hsa-mir-7977	188
hsa-mir-27a-5p	184
hsa-mir-4521	182
hsa-mir-27b-3p	182
hsa-mir-93-5p	176
hsa-mir-93-3p	169
hsa-mir-374a-5p	164
hsa-mir-1268b	162
hsa-mir-3195	148
hsa-mir-135b-5p	145
hsa-mir-8086	139
hsa-mir-181a-3p	138
hsa-mir-3159	135
hsa-mir-1285-5p	132
hsa-mir-660-5p	129
hsa-mir-4284	127
hsa-mir-331-5p	118
hsa-mir-320a-3p	114
hsa-mir-1296-5p	113
hsa-mir-619-5p	110
hsa-mir-7704	109
hsa-mir-125b-5p	107
hsa-mir-125a-5p	102
hsa-mir-26b-5p	100
hsa-mir-744-5p	100
hsa-mir-22-3p	99
hsa-mir-423-3p	92
hsa-mir-106b-5p	89
hsa-mir-3648	84
hsa-mir-5701	84
hsa-mir-181b-3p	81
hsa-mir-3929	77
hsa-mir-29a-3p	77
hsa-mir-30d-3p	76
hsa-mir-151a-3p	73
hsa-mir-196a-5p	71
hsa-mir-16-2-3p	69
hsa-mir-335-5p	68
hsa-mir-12121	64
hsa-mir-361-5p	63
hsa-mir-4791	60
hsa-mir-99b-5p	59
hsa-mir-4485-3p	57
hsa-mir-6724-5p	57
hsa-mir-4517	57
hsa-mir-92b-3p	53
hsa-mir-16-1-3p	51
hsa-mir-425-5p	51
hsa-mir-3665	50
hsa-mir-27a-3p	50
hsa-mir-10a-3p	48
hsa-mir-4430	46
hsa-mir-4508	45
hsa-let-7a-3p	45
hsa-mir-1255a	42
hsa-mir-10399-3p	42
hsa-mir-141-5p	41
hsa-mir-148a-5p	41
hsa-mir-29b-1-5p	41
hsa-mir-7851-3p	40
hsa-mir-15b-3p	40
hsa-mir-663a	36
hsa-mir-6892-5p	36
hsa-mir-9901	36
hsa-mir-98-5p	35
hsa-mir-183-3p	35
hsa-mir-103a-3p	35
hsa-mir-769-5p	33
hsa-mir-9-5p	33
hsa-mir-224-5p	32
hsa-mir-7-1-3p	32
hsa-mir-25-3p	32
hsa-mir-450b-5p	32
hsa-mir-20a-5p	31
hsa-mir-221-3p	31
hsa-mir-200a-5p	30
hsa-let-7d-5p	30
hsa-mir-1268a	30
hsa-mir-29a-5p	29
hsa-mir-196a-1-3p	29
hsa-mir-3960	29
hsa-mir-10399-5p	28
hsa-mir-5708	27
hsa-mir-651-5p	27
hsa-mir-128-1-5p	26
hsa-mir-590-3p	26
hsa-mir-29b-3p	26
hsa-let-7a-2-3p	25
hsa-mir-4472	25
hsa-mir-186-5p	24
hsa-mir-148a-3p	24
hsa-mir-10395-3p	23
hsa-mir-7-5p	23
hsa-mir-3135b	23
hsa-mir-27b-5p	23
hsa-mir-28-3p	23
hsa-mir-92b-5p	23
hsa-mir-182-3p	23
hsa-mir-192-5p	22
hsa-mir-18a-5p	22
hsa-mir-1273h-5p	22
hsa-mir-3182	22
hsa-mir-181c-5p	21
hsa-let-7f-2-3p	21
hsa-mir-3917	21
hsa-mir-10396b-3p	21
hsa-mir-10392-5p	20
hsa-mir-5684	20
hsa-mir-20a-3p	20
hsa-mir-330-5p	20
hsa-mir-32-5p	20
hsa-mir-320a-5p	19
hsa-mir-3651	19
hsa-mir-7976	19
